Source;Target;Weight
0;6;0.15817959093978226
6;0;0.15817959093978226
0;8;0.1631512196835108
8;0;0.1631512196835108
0;45;0.15329048865267808
45;0;0.15329048865267808
0;58;0.17905223175104137
58;0;0.17905223175104137
0;90;0.16104477175644444
90;0;0.16104477175644444
0;228;0.16005307325482135
228;0;0.16005307325482135
0;419;0.15256487060115928
419;0;0.15256487060115928
0;659;0.22424382421757544
659;0;0.22424382421757544
0;673;0.1505149978319906
673;0;0.1505149978319906
0;768;0.18316925091363362
768;0;0.18316925091363362
0;969;0.17718382013555792
969;0;0.17718382013555792
0;1182;0.1572932473495469
1182;0;0.1572932473495469
0;1567;0.17905223175104137
1567;0;0.17905223175104137
0;3048;0.18790182470910757
3048;0;0.18790182470910757
0;3080;0.1754250635819545
3080;0;0.1754250635819545
0;3830;0.15403922195426356
3830;0;0.15403922195426356
0;5478;0.20801459767650948
5478;0;0.20801459767650948
0;5849;0.15117821092177644
5849;0;0.15117821092177644
0;6018;0.15561139140249397
6018;0;0.15561139140249397
0;7343;0.17905223175104137
7343;0;0.17905223175104137
0;7776;0.26264953503719357
7776;0;0.26264953503719357
1;6;0.17219543379409813
6;1;0.17219543379409813
1;7;0.1572932473495469
7;1;0.1572932473495469
1;8;0.1754250635819545
8;1;0.1754250635819545
1;9;0.3010299956639812
9;1;0.3010299956639812
1;10;0.16544255391905832
10;1;0.16544255391905832
1;12;0.15403922195426356
12;1;0.15403922195426356
1;15;0.15561139140249397
15;1;0.15561139140249397
1;27;0.1810425967800402
27;1;0.1810425967800402
1;28;0.1754250635819545
28;1;0.1754250635819545
1;31;0.1754250635819545
31;1;0.1754250635819545
1;38;0.15186115333086322
38;1;0.15186115333086322
1;51;0.18790182470910757
51;1;0.18790182470910757
1;56;0.15561139140249397
56;1;0.15561139140249397
1;78;0.5
78;1;0.5
1;85;0.1810425967800402
85;1;0.1810425967800402
1;118;0.15909880786929415
118;1;0.15909880786929415
1;122;0.25
122;1;0.25
1;123;0.16929380759878143
123;1;0.16929380759878143
1;151;0.2
151;1;0.2
1;160;0.22424382421757544
160;1;0.22424382421757544
1;200;0.1854490234153689
200;1;0.1854490234153689
1;230;0.1548123827357682
230;1;0.1548123827357682
1;233;0.15403922195426356
233;1;0.15403922195426356
1;243;0.15909880786929415
243;1;0.15909880786929415
1;255;0.16929380759878143
255;1;0.16929380759878143
1;257;0.15909880786929415
257;1;0.15909880786929415
1;258;0.1965616322328226
258;1;0.1965616322328226
1;263;0.21274605355336312
263;1;0.21274605355336312
1;329;0.16207652439312228
329;1;0.16207652439312228
1;371;0.3010299956639812
371;1;0.3010299956639812
1;374;0.1572932473495469
374;1;0.1572932473495469
1;378;0.16427204996205025
378;1;0.16427204996205025
1;385;0.15817959093978226
385;1;0.15817959093978226
1;406;0.16104477175644444
406;1;0.16104477175644444
1;464;0.1505149978319906
464;1;0.1505149978319906
1;478;0.38685280723454163
478;1;0.38685280723454163
1;493;0.3010299956639812
493;1;0.3010299956639812
1;501;0.17376534287144002
501;1;0.17376534287144002
1;515;0.15643778834207153
515;1;0.15643778834207153
1;517;0.15817959093978226
517;1;0.15817959093978226
1;541;0.3333333333333333
541;1;0.3333333333333333
1;558;0.1548123827357682
558;1;0.1548123827357682
1;608;0.5
608;1;0.5
1;626;0.1572932473495469
626;1;0.1572932473495469
1;657;0.21274605355336312
657;1;0.21274605355336312
1;745;0.21274605355336312
745;1;0.21274605355336312
1;749;0.26264953503719357
749;1;0.26264953503719357
1;836;0.1905514124267734
836;1;0.1905514124267734
1;844;0.21274605355336312
844;1;0.21274605355336312
1;895;0.17070727966372012
895;1;0.17070727966372012
1;923;0.15186115333086322
923;1;0.15186115333086322
1;937;0.16104477175644444
937;1;0.16104477175644444
1;954;0.1854490234153689
954;1;0.1854490234153689
1;958;1.0
958;1;1.0
