Source;Target;Weight
0;1;0.2313782131597592
1;2;0.2313782131597592
2;0;0.23981246656813146
2;3;0.3010299956639812
3;1;0.2313782131597592
3;4;0.3010299956639812
4;2;0.25
4;3;0.27894294565112987
1;4;0.23981246656813146
0;5;0.25
5;2;0.3333333333333333
5;0;0.3010299956639812
5;1;0.27894294565112987
4;5;0.2313782131597592
0;3;0.25
0;6;0.38685280723454163
6;3;0.25
3;0;0.5
6;0;0.26264953503719357
2;4;0.23981246656813146
0;2;1.0
4;7;0.27894294565112987
7;4;0.26264953503719357
4;1;1.0
6;5;0.2313782131597592
3;2;0.3333333333333333
6;8;0.2313782131597592
8;5;0.2313782131597592
5;4;0.3010299956639812
0;9;0.27894294565112987
9;0;0.38685280723454163
5;9;0.38685280723454163
6;1;0.23981246656813146
6;10;0.27894294565112987
10;1;0.27894294565112987
3;7;0.38685280723454163
10;11;0.25
11;3;0.3010299956639812
1;0;0.23981246656813146
5;10;0.5
8;4;0.25
6;4;0.26264953503719357
7;12;0.23981246656813146
12;9;0.3333333333333333
7;13;0.23981246656813146
13;12;0.3010299956639812
1;12;0.3333333333333333
12;14;0.23981246656813146
14;11;0.26264953503719357
0;7;0.5
4;15;0.23981246656813146
15;3;0.23981246656813146
3;5;0.38685280723454163
15;12;0.23981246656813146
4;13;0.25
12;0;0.3010299956639812
13;0;0.25
0;13;1.0
1;15;1.0
1;16;0.3010299956639812
16;2;0.27894294565112987
2;17;0.26264953503719357
17;11;0.2313782131597592
8;6;0.27894294565112987
4;0;0.26264953503719357
17;12;1.0
13;1;0.27894294565112987
10;13;0.26264953503719357
7;6;0.23981246656813146
2;13;0.3333333333333333
0;10;0.27894294565112987
17;8;0.5
3;16;0.27894294565112987
10;3;0.2313782131597592
15;4;0.3333333333333333
12;5;1.0
9;17;0.5
16;18;0.5
18;16;0.25
17;1;0.27894294565112987
18;5;0.5
5;7;0.25
12;8;0.5
11;17;0.26264953503719357
12;16;0.3333333333333333
13;5;0.26264953503719357
12;19;0.25
19;4;0.5
16;14;0.2313782131597592
4;18;0.25
7;17;0.3010299956639812
13;18;0.2313782131597592
6;9;1.0
12;6;0.38685280723454163
7;10;0.25
6;14;0.2313782131597592
17;0;0.25
2;12;1.0
7;19;0.5
8;7;0.23981246656813146
1;8;0.38685280723454163
10;5;0.26264953503719357
2;20;0.3010299956639812
20;3;1.0
18;10;1.0
10;21;0.5
21;13;0.3333333333333333
3;8;0.5
3;14;0.23981246656813146
11;14;0.3010299956639812
21;20;0.3010299956639812
10;22;0.23981246656813146
22;21;0.5
16;11;1.0
21;18;0.38685280723454163
20;4;0.38685280723454163
20;14;0.5
17;23;0.2313782131597592
23;4;0.2313782131597592
20;5;0.25
5;22;0.5
5;24;0.26264953503719357
24;17;0.27894294565112987
8;25;0.38685280723454163
25;12;1.0
10;12;0.25
24;2;0.27894294565112987
21;3;0.2313782131597592
23;3;0.38685280723454163
18;13;0.26264953503719357
12;25;0.3333333333333333
5;18;0.38685280723454163
8;11;0.3010299956639812
